"11","Mustard Yellow Embroidered Silk Saree with Blouse Piece for Women | Party Wear Wedding Saree Latest Design","JF-02(3)","Free Size",,"Sarees","1","277768999897983232","277768999897983232_1","2026-04-21","2026-04-25","Customer Return","FIRST_RET","2026-05-20","Valmo","VLR082234090908","Picked Up","NA","https://meesho.portal.shipsy.io/track/result?refNum=VLR082234090908&searchBy=referenceNumber","Meesho Price","Have other quality related issues","Product's quality or performance is not good"
"12","Mustard Yellow Embroidered Silk Saree with Blouse Piece for Women | Party Wear Wedding Saree Latest Design","JF-02(3)","Free Size",,"Sarees","1","277003797371873664","277003797371873664_1","2026-04-20","2026-04-25","Courier Return (RTO)","forward_RTO","2026-06-04","Shadowfax","SF3279007297FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF3279007297FPL",,"NA","NA"
"13","Black Embroidered Silk Saree with Blouse Piece for Women | Party Wear Designer Saree for Wedding & Festive Wear","JF-02(4)","Free Size",,"Sarees","1","277930202267969792","277930202267969792_1","2026-04-21","2026-04-25","Customer Return","FIRST_RET","2026-05-20","Valmo","VLR082237970708","Picked Up","NA","https://meesho.portal.shipsy.io/track/result?refNum=VLR082237970708&searchBy=referenceNumber","Meesho Price","Have other quality related issues","Product's quality or performance is not good"
"14","Mustard Yellow Embroidered Silk Saree with Blouse Piece for Women | Party Wear Wedding Saree Latest Design","JF-02(3)","Free Size",,"Sarees","1","277857237358668032","277857237358668032_1","2026-04-21","2026-04-25","Customer Return","FIRST_RET","2026-05-20","Valmo","VLR082234989795","Picked Up","NA","https://meesho.portal.shipsy.io/track/result?refNum=VLR082234989795&searchBy=referenceNumber","Meesho Price","Have other quality related issues","Product's quality or performance is not good"
"15","Premium Teal Blue Embroidered Silk Saree with Heavy Blouse Piece for Women | Party Wear Designer Saree","JF-02(2)","Free Size",,"Sarees","1","276651413412482560","276651413412482560_1","2026-04-20","2026-04-25","Courier Return (RTO)","forward_RTO","2026-06-04","Delhivery","1490831735927225","Returned","null","https://www.delhivery.com/track/package/1490831735927225",,"NA","NA"
"16","Mustard Yellow Embroidered Silk Saree with Blouse Piece for Women | Party Wear Wedding Saree Latest Design","JF-02(3)","Free Size",,"Sarees","1","277841018727618560","277841018727618560_1","2026-04-21","2026-04-24","Courier Return (RTO)","forward_RTO","2026-06-05","Xpress Bees","13409663451992","Returned","null","https://www.xpressbees.com/track?isawb=Yes&trackid=13409663451992",,"NA","NA"
"17","Women’s Magenta Silk Saree with Blouse Piece | Heavy Zari Border Party Wear Saree Latest Design ","JF-01(02)","Free Size",,"Sarees","1","277377672244947200","277377672244947200_1","2026-04-20","2026-04-24","Courier Return (RTO)","forward_RTO","2026-06-04","Shadowfax","SF3280173086FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF3280173086FPL",,"NA","NA"
"18","Black Embroidered Silk Saree with Blouse Piece for Women | Party Wear Designer Saree for Wedding & Festive Wear","JF-02(4)","Free Size",,"Sarees","1","277014810087886400","277014810087886400_1","2026-04-20","2026-04-23","Courier Return (RTO)","forward_RTO","2026-06-04","Shadowfax","SF3279653585FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF3279653585FPL",,"NA","NA"
"19","Mustard Yellow Embroidered Silk Saree with Blouse Piece for Women | Party Wear Wedding Saree Latest Design","JF-02(3)","Free Size",,"Sarees","1","277754784831428608","277754784831428608_1","2026-04-21","2026-04-23","Customer Return","FIRST_RET","2026-05-18","Shadowfax","R2015084700FPL","Picked Up","NA","https://track.shadowfax.in/track?order=return&trackingId=R2015084700FPL","Meesho Price","Have other quality related issues","Product's quality or performance is not good"
"20","Women’s Magenta Silk Saree with Blouse Piece | Heavy Zari Border Party Wear Saree Latest Design ","JF-01(02)","Free Size",,"Sarees","1","277884651627843200","277884651627843200_1","2026-04-21","2026-04-22","Courier Return (RTO)","forward_RTO","2026-06-05","Delhivery","1490832061804116","Returned","null","https://www.delhivery.com/track/package/1490832061804116",,"NA","NA"
